Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.13199999,439.20700000,0.42882630,0.00000000
0.13399999,435.25460000,0.43679260,0.00000000
0.13599999,431.30220000,0.42882630,-1.97465500
0.13799999,423.38210000,0.43679260,-1.97465500
0.13999999,427.34990000,0.44472810,-2.76359500
0.14199999,423.38210000,0.44472810,-2.36835600
0.14399999,423.38210000,0.44472810,-1.97465500
0.14599999,423.38210000,0.43679260,-1.57941700
0.14799999,431.30220000,0.43679260,-2.76359500
0.14999999,435.25460000,0.43679260,0.39370070
0.15199999,439.20700000,0.43679260,0.00000000
0.15399999,443.17480000,0.42882630,1.18417800
0.15599999,443.17480000,0.42089070,1.18417800
0.15799999,451.07960000,0.42882630,0.39370070
0.15999999,443.17480000,0.41295520,2.36835600
0.16199999,447.12720000,0.41295520,1.18417800
0.16399999,443.17480000,0.42089070,1.18417800
0.16599999,447.12720000,0.42089070,1.57941700
0.16799999,447.12720000,0.42089070,1.97465500
0.16999999,447.12720000,0.42089070,1.18417800
0.17199999,447.12720000,0.42089070,-0.39370070
0.17399999,447.12720000,0.42882630,0.00000000
0.17599999,447.12720000,0.42089070,1.57941700
0.17799999,447.12720000,0.42089070,0.78893940
0.17999999,447.12720000,0.42089070,1.18417800
0.18199999,451.07960000,0.42882630,0.78893940
0.18399999,447.12720000,0.42089070,-0.39370070
0.18599999,451.07960000,0.42089070,1.18417800
0.18799999,443.17480000,0.42089070,1.97465500
0.18999999,451.07960000,0.42089070,2.76359500
0.19199999,443.17480000,0.42089070,0.78893940
0.19399999,443.17480000,0.42882630,1.57941700
0.19599999,439.20700000,0.42882630,-0.39370070
0.19799999,439.20700000,0.43679260,0.00000000
0.19999999,431.30220000,0.43679260,-0.39370070
0.20199999,427.34990000,0.43679260,-2.36835600
0.20399999,427.34990000,0.43679260,-1.18417800
0.20599999,427.34990000,0.44472810,-2.36835600
0.20799999,427.34990000,0.43679260,-2.36835600
0.20999999,431.30220000,0.44472810,-2.36835600
0.21199999,431.30220000,0.43679260,-0.78893940
0.21399999,439.20700000,0.43679260,-0.78893940
0.21599999,439.20700000,0.42882630,-0.78893940
0.21799998,443.17480000,0.42882630,-0.39370070
0.21999998,443.17480000,0.42089070,0.78893940
0.22199998,451.07960000,0.42089070,1.18417800
0.22399998,447.12720000,0.42089070,2.36835600
0.22599998,447.12720000,0.42089070,3.55407200
0.22799998,443.17480000,0.42089070,1.97465500
0.22999998,447.12720000,0.42089070,0.78893940
