"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.346","46.309","25.181","49.741","78.256"
"00:00:00.347","47.487","25.573","49.348","78.256"
"00:00:00.348","48.271","25.573","49.348","78.256"
"00:00:00.349","47.093","25.181","49.348","78.256"
"00:00:00.350","47.485","25.573","48.958","77.862"
"00:00:00.351","47.877","25.965","48.958","77.862"
"00:00:00.352","48.271","24.786","49.348","78.256"
"00:00:00.353","47.879","23.606","49.348","77.468"
"00:00:00.354","47.093","25.573","49.348","77.468"
"00:00:00.355","48.271","26.360","48.958","77.468"
"00:00:00.356","48.663","25.967","48.958","77.468"
"00:00:00.357","48.663","27.540","49.348","77.862"
"00:00:00.358","49.449","27.540","49.348","78.256"
"00:00:00.359","48.271","25.179","49.348","78.256"
"00:00:00.360","47.485","24.393","49.348","77.862"
"00:00:00.361","47.485","24.393","49.348","78.256"
"00:00:00.362","46.701","22.819","49.348","78.256"
"00:00:00.363","46.701","23.212","49.741","78.256"
"00:00:00.364","46.701","23.606","49.741","78.256"
"00:00:00.365","46.701","23.606","49.741","78.648"
"00:00:00.366","47.093","25.179","50.133","79.041"
"00:00:00.367","47.093","25.965","49.741","78.256"
"00:00:00.368","47.485","26.359","49.348","78.256"
"00:00:00.369","47.877","26.359","49.348","78.256"
"00:00:00.370","48.663","25.179","49.348","78.256"
"00:00:00.371","48.663","24.787","49.741","78.649"
"00:00:00.372","47.485","24.393","49.741","78.649"
"00:00:00.373","47.879","24.393","49.741","78.649"
"00:00:00.374","48.271","25.573","50.133","79.041"
"00:00:00.375","47.485","25.965","49.741","79.041"
"00:00:00.376","47.485","25.179","49.348","78.256"
"00:00:00.377","48.271","25.179","48.958","77.074"
"00:00:00.378","47.487","26.359","48.958","76.681"
"00:00:00.379","47.093","25.573","49.348","77.862"
"00:00:00.380","48.271","24.787","49.348","78.256"
"00:00:00.381","47.487","25.573","48.958","77.468"
"00:00:00.382","47.093","27.146","48.958","77.468"
"00:00:00.383","47.877","26.360","49.348","77.862"
"00:00:00.384","47.093","25.179","49.348","77.862"
"00:00:00.385","47.093","25.179","49.348","77.862"
"00:00:00.386","49.055","24.393","49.348","77.862"
"00:00:00.387","48.271","24.787","48.958","77.862"
"00:00:00.388","46.309","24.787","48.958","77.862"
"00:00:00.389","47.093","24.787","48.958","77.468"
"00:00:00.390","47.485","25.573","48.567","77.074"
"00:00:00.391","47.879","25.965","48.958","77.468"
"00:00:00.392","48.271","25.573","49.348","78.256"
"00:00:00.393","47.485","25.181","49.348","78.256"
"00:00:00.394","46.701","24.787","48.958","77.468"
"00:00:00.395","47.093","24.000","48.958","77.468"
"00:00:00.396","47.093","24.393","48.958","77.468"
"00:00:00.397","46.701","26.754","48.567","77.074"
"00:00:00.398","47.093","27.934","48.567","77.074"
"00:00:00.399","47.093","26.360","48.958","77.074"
"00:00:00.400","46.309","25.573","49.348","77.862"
"00:00:00.401","45.524","25.965","49.348","78.256"
"00:00:00.402","45.132","24.786","49.348","77.862"
"00:00:00.403","45.524","24.393","49.348","78.256"
"00:00:00.404","47.879","25.573","49.348","78.256"
"00:00:00.405","47.879","25.573","49.348","77.862"
"00:00:00.406","46.701","24.787","49.348","77.862"
"00:00:00.407","47.485","24.393","49.348","77.468"
"00:00:00.408","47.485","25.179","49.348","77.468"
"00:00:00.409","47.093","26.753","48.958","77.468"
"00:00:00.410","47.093","25.967","48.958","77.468"
"00:00:00.411","47.879","24.787","49.348","77.862"
"00:00:00.412","48.665","25.181","49.348","77.468"
"00:00:00.413","48.665","24.000","49.348","77.862"
"00:00:00.414","48.271","23.606","49.348","78.256"
"00:00:00.415","47.485","24.787","48.958","77.074"
"00:00:00.416","47.879","25.181","48.958","77.074"
"00:00:00.417","48.271","25.181","49.348","77.862"
"00:00:00.418","46.701","24.393","49.348","77.862"
"00:00:00.419","45.917","25.573","49.741","78.256"
"00:00:00.420","47.093","27.146","49.350","77.862"
"00:00:00.421","47.093","25.967","48.958","77.468"
